iter	Passed	Remaining
0	54	53997
1	55	27721
2	57	19023
3	58	14613
4	60	11957
5	61	10190
6	63	8957
7	64	8033
8	66	7291
9	68	6740
10	69	6287
11	71	5907
12	73	5573
13	74	5269
14	76	5006
15	77	4792
16	79	4607
17	81	4440
18	83	4287
19	84	4149
20	86	4027
21	87	3893
22	89	3789
23	90	3694
24	92	3598
25	93	3518
26	95	3444
27	97	3374
28	98	3306
29	100	3249
30	102	3192
31	103	3125
32	104	3076
33	106	3033
34	108	2990
35	109	2937
36	111	2897
37	113	2862
38	114	2827
39	116	2789
40	117	2743
41	118	2713
42	120	2687
43	122	2659
44	123	2626
45	125	2601
46	127	2579
47	128	2557
48	130	2534
49	132	2517
50	134	2507
51	136	2492
52	138	2476
53	140	2467
54	142	2452
55	144	2435
56	146	2417
57	148	2408
58	149	2392
59	151	2369
60	152	2352
61	154	2340
62	156	2328
63	158	2315
64	160	2306
65	162	2298
66	164	2288
67	166	2276
68	168	2267
69	169	2252
70	171	2239
71	172	2227
72	174	2218
73	176	2206
74	178	2195
75	179	2185
76	181	2175
77	183	2165
78	184	2155
79	186	2145
80	187	2128
81	188	2115
82	191	2111
83	192	2099
84	194	2093
85	196	2087
86	198	2077
87	200	2073
88	201	2065
89	203	2057
90	205	2048
91	206	2042
92	208	2034
93	210	2027
94	212	2020
95	213	2014
96	215	2007
97	217	1999
98	218	1992
99	220	1985
100	222	1979
101	224	1972
102	225	1966
103	227	1960
104	229	1953
105	231	1948
106	232	1942
107	234	1937
108	236	1931
109	237	1925
110	239	1920
111	241	1914
112	243	1908
113	244	1902
114	246	1897
115	248	1891
116	249	1886
117	251	1880
118	253	1875
119	255	1870
120	256	1865
121	258	1858
122	259	1853
123	277	1960
124	279	1955
125	281	1949
126	282	1943
127	284	1937
128	286	1933
129	288	1928
130	289	1923
131	291	1918
132	293	1915
133	295	1911
134	297	1907
135	299	1904
136	301	1899
137	302	1892
138	304	1886
139	306	1882
140	308	1877
141	309	1872
142	311	1867
143	313	1862
144	315	1857
145	316	1852
146	318	1845
147	319	1841
148	321	1838
149	323	1834
150	326	1833
151	328	1831
152	330	1827
153	331	1823
154	334	1822
155	336	1820
156	338	1818
157	340	1815
158	342	1812
159	344	1811
160	346	1808
161	348	1803
162	350	1799
163	352	1795
164	354	1791
165	355	1787
166	357	1783
167	359	1779
168	360	1773
169	362	1769
170	364	1765
171	366	1762
172	367	1757
173	369	1753
174	371	1750
175	372	1746
176	374	1740
177	376	1736
178	377	1732
179	379	1729
180	381	1726
181	383	1725
182	385	1723
183	387	1719
184	389	1716
185	391	1713
186	393	1711
187	395	1708
188	397	1704
189	399	1701
190	400	1698
191	402	1694
192	404	1690
193	406	1687
194	407	1682
195	409	1678
196	411	1675
197	412	1671
198	414	1667
199	416	1664
200	417	1660
201	419	1657
202	421	1653
203	422	1649
204	424	1646
205	426	1642
206	428	1639
207	429	1636
208	431	1633
209	433	1629
210	434	1626
211	436	1622
212	438	1619
213	440	1616
214	441	1612
215	443	1608
216	444	1605
217	446	1603
218	448	1600
219	450	1596
220	452	1594
221	453	1589
222	454	1585
223	456	1582
224	458	1580
225	460	1577
226	462	1575
227	464	1573
228	466	1571
229	468	1568
230	470	1565
231	472	1562
232	474	1560
233	475	1557
234	477	1555
235	479	1552
236	481	1550
237	483	1548
238	485	1544
239	486	1542
240	488	1539
241	490	1536
242	492	1533
243	494	1531
244	495	1528
245	497	1525
246	498	1520
247	500	1517
248	501	1513
249	503	1510
250	505	1507
251	506	1504
252	508	1501
253	510	1498
254	511	1495
255	513	1493
256	515	1490
257	517	1488
258	519	1485
259	521	1483
260	523	1481
261	525	1479
262	526	1476
263	528	1473
264	530	1471
265	532	1469
266	534	1466
267	536	1464
268	538	1462
269	541	1462
270	542	1459
271	544	1457
272	546	1454
273	547	1451
274	549	1449
275	551	1445
276	552	1443
277	554	1440
278	555	1435
279	557	1432
280	558	1430
281	560	1427
282	562	1425
283	563	1420
284	565	1417
285	566	1415
286	568	1412
287	570	1409
288	572	1407
289	574	1405
290	576	1403
291	577	1401
292	579	1399
293	581	1396
294	583	1394
295	584	1390
296	586	1387
297	588	1385
298	589	1382
299	591	1380
300	593	1377
301	594	1375
302	596	1372
303	598	1369
304	599	1367
305	601	1364
306	603	1362
307	605	1360
308	607	1358
309	609	1357
310	611	1355
311	613	1353
312	616	1352
313	618	1350
314	620	1348
315	622	1346
316	623	1344
317	625	1341
318	627	1339
319	629	1336
320	630	1334
321	632	1331
322	634	1329
323	636	1327
324	638	1325
325	639	1322
326	641	1321
327	643	1319
328	645	1317
329	647	1315
330	649	1312
331	651	1310
332	652	1307
333	654	1305
334	656	1302
335	657	1300
336	659	1297
337	661	1295
338	662	1292
339	664	1290
340	666	1287
341	668	1285
342	669	1283
343	671	1280
344	673	1278
345	675	1276
346	676	1273
347	678	1271
348	680	1269
349	682	1266
350	683	1264
351	685	1261
352	687	1259
353	689	1257
354	690	1254
355	692	1252
356	694	1250
357	695	1247
358	697	1245
359	699	1243
360	700	1240
361	702	1237
362	703	1234
363	705	1232
364	707	1230
365	708	1226
366	710	1224
367	711	1222
368	713	1219
369	714	1217
370	716	1214
371	718	1213
372	720	1211
373	722	1209
374	724	1207
375	726	1205
376	728	1203
377	730	1201
378	732	1199
379	734	1198
380	736	1196
381	738	1194
382	739	1192
383	741	1189
384	743	1187
385	745	1185
386	746	1183
387	748	1180
388	750	1178
389	752	1176
390	753	1173
391	755	1171
392	757	1169
393	758	1166
394	759	1163
395	761	1161
396	763	1159
397	765	1158
398	767	1156
399	769	1154
400	771	1152
401	773	1150
402	775	1148
403	776	1146
404	778	1144
405	779	1140
406	781	1138
407	783	1136
408	784	1134
409	786	1131
410	788	1130
411	789	1127
412	791	1124
413	793	1122
414	794	1120
415	796	1118
416	798	1115
417	799	1113
418	801	1111
419	803	1109
420	804	1106
421	806	1104
422	808	1102
423	810	1100
424	811	1098
425	813	1095
426	814	1093
427	816	1091
428	818	1089
429	820	1087
430	821	1084
431	823	1082
432	825	1080
433	826	1078
434	828	1076
435	830	1073
436	831	1071
437	833	1069
438	835	1067
439	836	1065
440	838	1063
441	840	1060
442	841	1058
443	843	1056
444	845	1054
445	846	1052
446	848	1049
447	849	1047
448	851	1044
449	853	1042
450	854	1040
451	856	1038
452	858	1036
453	859	1034
454	861	1031
455	863	1030
456	865	1027
457	866	1025
458	868	1023
459	870	1021
460	871	1019
461	873	1017
462	875	1014
463	876	1013
464	878	1011
465	880	1008
466	882	1006
467	883	1004
468	885	1002
469	887	1000
470	888	998
471	890	996
472	892	993
473	893	992
474	895	989
475	897	987
476	899	985
477	901	984
478	903	982
479	905	980
480	907	978
481	909	977
482	910	974
483	912	972
484	914	970
485	915	968
486	917	966
487	919	964
488	921	962
489	923	960
490	925	958
491	926	956
492	927	954
493	929	952
494	931	950
495	933	948
496	935	946
497	936	944
498	938	942
499	940	940
500	941	938
501	943	936
502	945	934
503	947	932
504	948	930
505	950	928
506	952	926
507	954	924
508	956	922
509	958	920
510	960	918
511	962	917
512	964	915
513	966	913
514	967	911
515	969	909
516	971	907
517	972	905
518	974	903
519	976	901
520	977	899
521	979	896
522	981	894
523	982	892
524	984	890
525	986	888
526	987	886
527	989	884
528	991	882
529	992	880
530	994	878
531	995	876
532	997	874
533	999	872
534	1000	870
535	1002	867
536	1004	865
537	1006	863
538	1007	861
539	1009	860
540	1011	858
541	1013	856
542	1014	853
543	1016	852
544	1018	850
545	1019	848
546	1021	846
547	1023	844
548	1025	842
549	1026	840
550	1028	838
551	1030	836
552	1032	834
553	1033	832
554	1035	830
555	1037	828
556	1039	826
557	1040	824
558	1042	822
559	1044	820
560	1046	818
561	1047	816
562	1049	814
563	1051	812
564	1053	810
565	1055	808
566	1056	807
567	1058	805
568	1060	803
569	1062	801
570	1063	799
571	1065	797
572	1067	795
573	1069	793
574	1070	791
575	1072	789
576	1074	787
577	1075	785
578	1077	783
579	1078	781
580	1080	779
581	1082	777
582	1083	775
583	1085	773
584	1086	770
585	1088	768
586	1090	767
587	1092	765
588	1094	763
589	1095	761
590	1097	759
591	1099	757
592	1101	756
593	1103	754
594	1105	752
595	1107	750
596	1109	749
597	1111	747
598	1113	745
599	1115	743
600	1117	741
601	1119	739
602	1120	737
603	1122	736
604	1124	734
605	1126	732
606	1128	730
607	1130	728
608	1131	726
609	1133	724
610	1135	723
611	1137	721
612	1139	719
613	1140	717
614	1143	715
615	1145	714
616	1147	712
617	1149	710
618	1151	708
619	1152	706
620	1154	704
621	1156	702
622	1158	700
623	1160	699
624	1162	697
625	1163	695
626	1165	693
627	1167	691
628	1169	689
629	1170	687
630	1172	685
631	1174	683
632	1176	681
633	1178	680
634	1179	678
635	1181	676
636	1183	674
637	1185	672
638	1186	670
639	1188	668
640	1190	666
641	1192	664
642	1194	663
643	1196	661
644	1197	659
645	1199	657
646	1201	655
647	1202	653
648	1204	651
649	1206	649
650	1208	647
651	1209	645
652	1211	644
653	1213	642
654	1215	640
655	1217	638
656	1218	636
657	1220	634
658	1222	632
659	1223	630
660	1225	628
661	1227	626
662	1228	624
663	1230	622
664	1232	620
665	1233	618
666	1234	616
667	1236	614
668	1238	612
669	1240	610
670	1241	608
671	1243	606
672	1245	605
673	1247	603
674	1249	601
675	1251	599
676	1253	597
677	1255	596
678	1257	594
679	1259	592
680	1261	590
681	1263	589
682	1265	587
683	1267	585
684	1269	583
685	1270	581
686	1272	579
687	1274	578
688	1276	576
689	1278	574
690	1280	572
691	1282	570
692	1284	569
693	1286	567
694	1288	565
695	1291	563
696	1293	562
697	1295	560
698	1297	558
699	1299	557
700	1301	555
701	1303	553
702	1306	551
703	1308	550
704	1310	548
705	1312	546
706	1314	544
707	1316	543
708	1318	541
709	1320	539
710	1322	537
711	1324	535
712	1326	534
713	1328	532
714	1330	530
715	1333	528
716	1335	527
717	1337	525
718	1339	523
719	1341	521
720	1343	519
721	1345	517
722	1347	516
723	1348	514
724	1350	512
725	1352	510
726	1354	508
727	1355	506
728	1357	504
729	1359	502
730	1361	500
731	1363	499
732	1364	497
733	1366	495
734	1368	493
735	1370	491
736	1371	489
737	1373	487
738	1375	485
739	1377	483
740	1379	482
741	1380	480
742	1382	478
743	1384	476
744	1386	474
745	1388	472
746	1389	470
747	1391	468
748	1393	467
749	1395	465
750	1397	463
751	1398	461
752	1400	459
753	1402	457
754	1404	455
755	1405	453
756	1407	451
757	1409	449
758	1411	448
759	1412	446
760	1414	444
761	1416	442
762	1418	440
763	1419	438
764	1421	436
765	1423	434
766	1425	432
767	1426	431
768	1428	429
769	1430	427
770	1432	425
771	1433	423
772	1435	421
773	1437	419
774	1439	417
775	1441	416
776	1443	414
777	1445	412
778	1447	410
779	1449	408
780	1451	407
781	1453	405
782	1455	403
783	1457	401
784	1459	399
785	1461	397
786	1463	396
787	1465	394
788	1467	392
789	1469	390
790	1471	388
791	1473	386
792	1475	385
793	1476	383
794	1478	381
795	1481	379
796	1483	377
797	1485	376
798	1487	374
799	1489	372
800	1492	370
801	1494	368
802	1496	367
803	1498	365
804	1500	363
805	1501	361
806	1503	359
807	1505	357
808	1507	355
809	1509	354
810	1511	352
811	1513	350
812	1514	348
813	1516	346
814	1519	344
815	1521	343
816	1523	341
817	1525	339
818	1527	337
819	1530	335
820	1532	334
821	1534	332
822	1536	330
823	1538	328
824	1540	326
825	1543	325
826	1545	323
827	1546	321
828	1548	319
829	1550	317
830	1552	315
831	1554	313
832	1557	312
833	1559	310
834	1561	308
835	1563	306
836	1565	304
837	1567	303
838	1570	301
839	1572	299
840	1574	297
841	1576	295
842	1578	294
843	1580	292
844	1583	290
845	1585	288
846	1587	286
847	1589	284
848	1592	283
849	1594	281
850	1596	279
851	1598	277
852	1601	275
853	1603	274
854	1605	272
855	1607	270
856	1610	268
857	1612	266
858	1614	264
859	1616	263
860	1618	261
861	1620	259
862	1622	257
863	1623	255
864	1625	253
865	1627	251
866	1629	249
867	1630	248
868	1632	246
869	1634	244
870	1636	242
871	1637	240
872	1639	238
873	1641	236
874	1643	234
875	1645	232
876	1647	231
877	1649	229
878	1651	227
879	1653	225
880	1655	223
881	1657	221
882	1659	219
883	1661	218
884	1663	216
885	1665	214
886	1667	212
887	1669	210
888	1671	208
889	1673	206
890	1675	205
891	1677	203
892	1679	201
893	1681	199
894	1683	197
895	1685	195
896	1689	194
897	1691	192
898	1694	190
899	1696	188
900	1698	186
901	1700	184
902	1702	182
903	1704	181
904	1706	179
905	1709	177
906	1711	175
907	1713	173
908	1715	171
909	1717	169
910	1719	168
911	1722	166
912	1724	164
913	1726	162
914	1728	160
915	1730	158
916	1732	156
917	1735	154
918	1737	153
919	1739	151
920	1741	149
921	1743	147
922	1745	145
923	1747	143
924	1749	141
925	1752	140
926	1754	138
927	1756	136
928	1758	134
929	1760	132
930	1762	130
931	1764	128
932	1766	126
933	1768	124
934	1770	123
935	1772	121
936	1774	119
937	1776	117
938	1778	115
939	1780	113
940	1782	111
941	1785	109
942	1787	108
943	1789	106
944	1791	104
945	1793	102
946	1795	100
947	1796	98
948	1799	96
949	1801	94
950	1803	92
951	1805	91
952	1807	89
953	1809	87
954	1811	85
955	1813	83
956	1815	81
957	1817	79
958	1819	77
959	1821	75
960	1823	74
961	1825	72
962	1828	70
963	1830	68
964	1832	66
965	1834	64
966	1836	62
967	1838	60
968	1840	58
969	1842	56
970	1844	55
971	1846	53
972	1848	51
973	1850	49
974	1852	47
975	1854	45
976	1856	43
977	1858	41
978	1860	39
979	1862	38
980	1864	36
981	1866	34
982	1869	32
983	1871	30
984	1873	28
985	1875	26
986	1878	24
987	1880	22
988	1882	20
989	1884	19
990	1887	17
991	1889	15
992	1891	13
993	1893	11
994	1895	9
995	1897	7
996	1898	5
997	1901	3
998	1903	1
999	1905	0
